iter	RMSE
411	1.734314485
412	1.730326554
413	1.729009427
414	1.726068867
415	1.723275935
416	1.722326127
417	1.713020146
418	1.712735165
419	1.710648886
420	1.710345856
421	1.707103225
422	1.706843258
423	1.704162572
424	1.701248783
425	1.696426727
426	1.69637077
427	1.695374354
428	1.692882824
429	1.690792617
430	1.688098034
431	1.687697428
432	1.687637481
433	1.6861405
434	1.68449928
435	1.682290867
436	1.679989222
437	1.676710166
438	1.674448169
439	1.671685844
440	1.669792338
441	1.669289551
442	1.668466531
443	1.663928529
444	1.661632609
445	1.658981792
446	1.657581214
447	1.656540421
448	1.65245626
449	1.649348436
450	1.645831884
451	1.643658242
452	1.642313275
453	1.637188219
454	1.633300979
455	1.63077606
456	1.627406199
457	1.625429318
458	1.62315757
459	1.620759289
460	1.618648031
461	1.618350598
462	1.61683765
463	1.615813119
464	1.613913353
465	1.61385409
466	1.611458367
467	1.61007243
468	1.607757515
469	1.605148183
470	1.603577364
471	1.600841239
472	1.599621994
473	1.597318123
474	1.594553337
475	1.592468198
476	1.590419902
477	1.587598384
478	1.58539294
479	1.584821798
480	1.583736406
481	1.581146945
482	1.57915129
483	1.578541756
484	1.575881521
485	1.575011569
486	1.573326409
487	1.572816693
488	1.571658422
489	1.56946996
490	1.567243385
491	1.566055974
492	1.566015282
493	1.563464797
494	1.562889057
495	1.560847339
496	1.559098004
497	1.557508201
498	1.556120468
499	1.553872677
