iter	Passed	Remaining
147	801	1905
148	803	1892
149	805	1880
150	807	1867
151	810	1856
152	812	1843
153	814	1831
154	821	1827
155	825	1819
156	827	1807
157	830	1797
158	832	1785
159	837	1779
160	839	1767
161	842	1757
162	844	1746
163	846	1734
164	849	1725
165	852	1714
166	855	1705
167	857	1693
168	859	1684
169	862	1674
170	864	1662
171	868	1655
172	870	1644
173	873	1636
174	876	1628
175	881	1622
176	883	1612
177	886	1604
178	888	1593
179	892	1586
180	894	1576
181	896	1566
182	898	1556
183	899	1545
184	901	1534
185	904	1527
186	906	1516
187	907	1505
188	910	1497
189	911	1487
190	913	1478
191	916	1470
192	917	1460
193	919	1450
194	921	1441
195	923	1431
196	924	1422
197	926	1412
198	927	1403
199	929	1393
200	931	1385
201	933	1377
202	935	1367
203	936	1358
204	938	1350
205	940	1341
206	941	1332
207	944	1325
208	947	1318
209	949	1310
210	952	1303
211	953	1295
212	955	1287
213	957	1279
214	958	1270
215	960	1262
216	961	1254
217	963	1245
218	964	1237
219	965	1228
220	966	1220
221	968	1212
222	970	1204
223	971	1196
224	973	1189
225	975	1182
226	976	1174
227	978	1167
228	980	1159
229	981	1152
230	983	1145
231	984	1137
232	986	1130
233	987	1122
234	988	1114
235	989	1107
236	991	1100
237	992	1092
238	993	1085
239	995	1078
240	997	1071
241	998	1064
242	999	1057
243	1000	1050
244	1002	1043
245	1003	1036
246	1004	1029
247	1006	1022
248	1007	1015
249	1009	1009
250	1010	1002
251	1011	995
252	1013	989
253	1014	982
254	1016	976
255	1017	969
256	1018	962
257	1019	956
258	1021	950
259	1022	943
260	1023	937
261	1024	930
262	1026	924
263	1027	918
264	1028	911
265	1029	905
266	1031	900
267	1032	894
268	1035	888
269	1036	883
270	1038	877
271	1039	871
272	1040	865
273	1041	859
274	1043	853
275	1045	848
276	1046	842
277	1047	836
278	1048	830
279	1050	825
280	1051	819
281	1052	813
282	1053	807
283	1055	802
284	1056	797
285	1057	791
286	1058	785
287	1059	780
288	1061	775
289	1063	769
290	1064	764
291	1065	759
292	1067	753
293	1068	748
294	1069	743
295	1070	737
296	1072	733
297	1074	728
298	1075	723
299	1077	718
300	1079	713
301	1080	708
302	1081	703
303	1083	698
304	1085	693
305	1086	688
306	1088	684
307	1090	679
308	1091	674
309	1093	670
310	1094	665
311	1096	660
312	1098	656
313	1099	651
314	1102	647
315	1103	642
316	1105	638
317	1106	633
318	1109	629
319	1110	624
320	1111	619
321	1114	615
322	1115	611
323	1117	606
324	1118	602
325	1120	597
326	1121	593
327	1123	589
328	1124	584
329	1126	580
330	1128	576
331	1129	571
332	1131	567
333	1133	563
334	1134	558
335	1135	554
336	1138	550
337	1139	546
338	1141	542
339	1142	537
340	1144	533
341	1145	529
342	1147	525
343	1149	521
344	1150	517
345	1152	512
346	1153	508
347	1155	504
348	1157	500
349	1158	496
350	1160	492
351	1161	488
352	1163	484
353	1164	480
354	1165	476
355	1167	472
356	1169	468
357	1170	464
358	1172	460
359	1174	456
360	1176	452
361	1177	448
362	1179	445
363	1181	441
364	1182	437
365	1184	433
366	1185	429
367	1187	425
368	1187	421
369	1189	417
370	1191	414
371	1192	410
372	1194	406
373	1195	402
374	1197	399
375	1198	395
376	1199	391
377	1201	387
378	1202	383
379	1204	380
380	1205	376
381	1206	372
382	1208	369
383	1209	365
384	1210	361
385	1212	357
386	1213	354
387	1215	350
388	1216	347
389	1217	343
390	1219	339
391	1220	336
392	1222	332
393	1223	329
394	1224	325
395	1226	322
396	1227	318
397	1228	314
398	1229	311
399	1231	307
400	1233	304
401	1235	301
402	1236	297
403	1238	294
404	1239	290
405	1241	287
406	1242	283
407	1244	280
408	1245	277
409	1248	273
410	1249	270
411	1251	267
412	1252	263
413	1253	260
414	1255	257
415	1257	253
416	1258	250
417	1260	247
418	1261	243
419	1263	240
420	1264	237
421	1265	233
422	1267	230
423	1268	227
424	1269	224
425	1270	220
426	1271	217
427	1274	214
428	1276	211
429	1277	208
430	1279	204
431	1281	201
432	1282	198
433	1285	195
434	1287	192
435	1289	189
436	1291	186
437	1293	183
438	1294	179
439	1296	176
440	1298	173
441	1301	170
442	1303	167
443	1305	164
444	1306	161
445	1308	158
446	1309	155
447	1311	152
448	1312	149
449	1314	146
450	1316	143
451	1317	139
452	1319	136
453	1321	133
454	1322	130
455	1324	127
456	1327	124
457	1329	121
458	1331	118
459	1333	115
460	1334	112
461	1335	109
462	1337	106
463	1339	103
464	1341	100
465	1342	97
466	1345	95
467	1347	92
468	1349	89
469	1351	86
470	1353	83
471	1356	80
472	1358	77
473	1359	74
474	1362	71
475	1364	68
476	1365	65
477	1369	63
478	1371	60
479	1372	57
480	1375	54
481	1377	51
482	1380	48
483	1382	45
484	1384	42
485	1386	39
486	1389	37
487	1395	34
488	1399	31
489	1401	28
490	1406	25
491	1409	22
492	1412	20
493	1414	17
494	1416	14
495	1419	11
496	1421	8
497	1425	5
498	1427	2
499	1430	0
